v 0 0
v 1 0
v 2 1
v 3 1
v 4 2
v 5 2
v 6 3
v 7 3
v 8 4
v 9 4
v 10 5
v 11 5
v 12 6
v 13 6
v 14 7
v 15 7
v 16 0
v 17 0
v 18 4
v 19 4
v 20 4
v 21 4
v 22 8
v 23 8
v 24 3
v 25 3
v 26 9
v 27 9
v 28 10
v 29 10
v 30 8
v 31 8
v 32 2
v 33 2
v 34 7
v 35 7
v 36 11
v 37 11
v 38 4
v 39 4
v 40 3
v 41 3
v 42 2
v 43 2
v 44 9
v 45 9
v 46 12
v 47 12
v 48 3
v 49 3
v 50 4
v 51 4
v 52 11
v 53 11
v 54 13
v 55 13
e 0 2 1
e 0 52 1
e 0 54 1
e 1 3 1
e 2 4 1
e 2 48 1
e 2 51 1
e 2 52 1
e 2 54 1
e 3 5 1
e 4 6 1
e 4 48 1
e 4 51 1
e 4 52 1
e 5 7 1
e 6 8 1
e 6 41 1
e 6 47 1
e 6 48 1
e 6 51 1
e 7 9 1
e 8 11 1
e 8 24 1
e 8 35 1
e 8 38 1
e 8 41 1
e 8 47 1
e 8 48 1
e 8 51 1
e 9 10 1
e 10 13 1
e 11 12 1
e 11 35 1
e 11 37 1
e 11 41 1
e 12 15 1
e 12 35 1
e 13 14 1
e 14 16 1
e 15 17 1
e 15 24 1
e 15 27 1
e 15 30 1
e 17 24 1
e 17 27 1
e 18 20 1
e 18 27 1
e 19 21 1
e 20 22 1
e 20 24 1
e 20 27 1
e 21 23 1
e 22 23 1
e 22 24 1
e 22 25 1
e 22 27 1
e 22 28 1
e 23 24 1
e 24 27 1
e 25 9 1
e 25 14 1
e 25 16 1
e 25 21 1
e 25 23 1
e 25 24 1
e 25 26 1
e 25 27 1
e 26 14 1
e 26 16 1
e 26 19 1
e 26 21 1
e 26 23 1
e 26 24 1
e 26 27 1
e 26 28 1
e 26 29 1
e 26 32 1
e 27 28 1
e 28 30 1
e 29 23 1
e 29 27 1
e 29 31 1
e 31 14 1
e 33 27 1
e 34 9 1
e 34 10 1
e 34 13 1
e 34 14 1
e 34 36 1
e 35 37 1
e 36 10 1
e 38 41 1
e 39 9 1
e 39 40 1
e 40 7 1
e 40 9 1
e 40 10 1
e 42 44 1
e 43 45 1
e 43 54 1
e 44 47 1
e 45 46 1
e 45 52 1
e 45 54 1
e 46 7 1
e 46 9 1
e 46 49 1
e 46 51 1
e 46 52 1
e 46 54 1
e 47 48 1
e 48 51 1
e 49 3 1
e 49 5 1
e 49 7 1
e 49 9 1
e 49 50 1
e 49 51 1
e 49 52 1
e 49 54 1
e 50 3 1
e 50 5 1
e 50 7 1
e 50 9 1
e 50 47 1
e 50 48 1
e 50 51 1
e 50 52 1
e 50 53 1
e 51 52 1
e 52 54 1
e 53 1 1
e 53 3 1
e 53 5 1
e 53 44 1
e 53 47 1
e 53 48 1
e 53 51 1
e 53 52 1
e 53 55 1
e 55 1 1
e 55 3 1
e 55 42 1
e 55 44 1
e 55 47 1
e 55 48 1
